subset,model,seed,dim,sev,one_minus_q,rmse,score,ece,cov90,rmse_base
FD001,lstm,3,consistency,4,0.4102941155433655,31.089723587036133,2515.47314453125,0.354,0.39,16.12066078186035
FD001,lstm,3,consistency,5,0.529411792755127,38.08945083618164,12862.83984375,0.388,0.29,16.12066078186035
FD001,lstm,3,drift,0,0.0,16.12066078186035,375.9866638183594,0.08399999999999998,0.89,16.12066078186035
FD001,lstm,3,drift,1,0.10000008344650269,16.59746551513672,330.6907043457031,0.09999999999999999,0.88,16.12066078186035
FD001,lstm,3,drift,2,0.3250000476837158,26.576187133789062,1195.9273681640625,0.29000000000000004,0.55,16.12066078186035
FD001,lstm,3,drift,3,0.5500000417232513,34.69105529785156,3082.945068359375,0.40800000000000003,0.32,16.12066078186035
FD001,lstm,3,drift,4,0.7750000208616257,40.136871337890625,5275.86328125,0.4659999999999999,0.15,16.12066078186035
FD001,lstm,3,drift,5,1.0,44.744876861572266,8116.6083984375,0.484,0.06,16.12066078186035
FD001,lstm,4,accuracy,0,0.0,14.878328323364258,281.1823425292969,0.06299999999999997,0.9,14.878328323364258
FD001,lstm,4,accuracy,1,0.050000011920928955,14.707914352416992,264.30657958984375,0.060999999999999985,0.89,14.878328323364258
FD001,lstm,4,accuracy,2,0.18750005960464478,15.01669979095459,297.8359069824219,0.05599999999999997,0.89,14.878328323364258
FD001,lstm,4,accuracy,3,0.3250000476837158,15.577224731445312,326.48443603515625,0.06,0.86,14.878328323364258
FD001,lstm,4,accuracy,4,0.46250003576278687,16.723325729370117,390.7099304199219,0.06799999999999999,0.86,14.878328323364258
FD001,lstm,4,accuracy,5,0.6000000238418579,17.840486526489258,443.8277282714844,0.07299999999999998,0.82,14.878328323364258
FD001,lstm,4,accuracy_bias,0,0.0,14.878328323364258,281.1823425292969,0.06299999999999997,0.9,14.878328323364258
FD001,lstm,4,accuracy_bias,1,0.050000011920928955,14.832863807678223,266.6207275390625,0.06899999999999998,0.9,14.878328323364258
FD001,lstm,4,accuracy_bias,2,0.18750005960464478,17.09698486328125,368.2323303222656,0.121,0.82,14.878328323364258
FD001,lstm,4,accuracy_bias,3,0.3250000476837158,23.27203941345215,1045.480224609375,0.25199999999999995,0.58,14.878328323364258
FD001,lstm,4,accuracy_bias,4,0.46250003576278687,29.73313331604004,2157.9111328125,0.373,0.39,14.878328323364258
FD001,lstm,4,accuracy_bias,5,0.6000000238418579,37.29743194580078,4320.279296875,0.42699999999999994,0.27,14.878328323364258
FD001,lstm,4,completeness_MCAR,0,0.0,14.878328323364258,281.1823425292969,0.06299999999999997,0.9,14.878328323364258
FD001,lstm,4,completeness_MCAR,1,0.0503922700881958,15.335135459899902,330.4005432128906,0.06399999999999999,0.89,14.878328323364258
FD001,lstm,4,completeness_MCAR,2,0.162725567817688,15.994136810302734,374.60992431640625,0.05299999999999999,0.89,14.878328323364258
FD001,lstm,4,completeness_MCAR,3,0.276039183139801,15.932696342468262,446.66497802734375,0.06299999999999999,0.91,14.878328323364258
FD001,lstm,4,completeness_MCAR,4,0.388568639755249,17.576438903808594,477.1257019042969,0.065,0.81,14.878328323364258
FD001,lstm,4,completeness_MCAR,5,0.499666690826416,16.983537673950195,395.3264465332031,0.05199999999999998,0.83,14.878328323364258
FD001,lstm,4,completeness_MAR,0,0.0,14.878328323364258,281.1823425292969,0.06299999999999997,0.9,14.878328323364258
FD001,lstm,4,completeness_MAR,1,0.05029416084289551,15.585257530212402,358.7280578613281,0.05499999999999999,0.91,14.878328323364258
FD001,lstm,4,completeness_MAR,2,0.16266673803329468,16.061031341552734,349.2776794433594,0.05799999999999998,0.87,14.878328323364258
FD001,lstm,4,completeness_MAR,3,0.27568626403808594,16.273340225219727,411.0971984863281,0.04699999999999998,0.9,14.878328323364258
FD001,lstm,4,completeness_MAR,4,0.3881961703300476,16.24808120727539,453.9558410644531,0.056999999999999974,0.85,14.878328323364258
FD001,lstm,4,completeness_MAR,5,0.5003921985626221,17.68787956237793,486.6293640136719,0.04699999999999997,0.87,14.878328323364258
FD001,lstm,4,completeness_MNAR,0,0.0,14.878328323364258,281.1823425292969,0.06299999999999997,0.9,14.878328323364258
FD001,lstm,4,completeness_MNAR,1,0.05043137073516846,15.058216094970703,297.3255310058594,0.058999999999999976,0.92,14.878328323364258
FD001,lstm,4,completeness_MNAR,2,0.16396087408065796,15.682389259338379,360.2044372558594,0.04799999999999997,0.87,14.878328323364258
FD001,lstm,4,completeness_MNAR,3,0.27611762285232544,17.00761604309082,655.2388305664062,0.05199999999999998,0.84,14.878328323364258
FD001,lstm,4,completeness_MNAR,4,0.38972556591033936,17.323564529418945,554.3074340820312,0.055000000000000014,0.81,14.878328323364258
